alert_id,signature,proto,src_bytes,dst_bytes,duration_s,failed_logins,same_srv_rate,dst_host_count,severity,label
A00000,et-scan-portscan,TCP,10910,1882,21.616,3,0.968,336,5,attack
A00001,policy-allowed-http,TCP,2216,1761,26.461,0,0.224,23,1,benign
A00002,dns-query-normal,UDP,6672,4371,26.756,0,0.057,25,1,benign
A00003,et-dos-synflood,TCP,202517,7034,5.27,35,0.636,445,5,attack
A00004,policy-allowed-http,UDP,6719,911,15.801,1,0.179,15,2,benign
A00005,dns-query-normal,UDP,3096,3016,20.192,0,0.365,26,2,benign
A00006,et-bruteforce-ssh,TCP,457736,1303,14.137,21,0.772,458,3,attack
A00007,icmp-echo-reply,TCP,3712,1842,18.041,1,0.475,1,1,benign
A00008,tls-handshake-ok,TCP,2070,3250,2.901,1,0.419,34,2,benign
A00009,tls-handshake-ok,TCP,1601,6899,21.566,0,0.056,1,2,benign
A00010,icmp-echo-reply,TCP,4361,11394,6.117,0,0.494,26,2,benign
A00011,tls-handshake-ok,ICMP,2072,3536,14.384,1,0.292,3,2,benign
A00012,policy-allowed-http,TCP,1750,5357,10.898,1,0.063,12,2,benign
A00013,et-bruteforce-ssh,UDP,27377,2328,14.566,7,0.605,222,4,attack
A00014,et-scan-portscan,TCP,101779,7690,18.525,10,0.911,467,5,attack
A00015,policy-allowed-http,UDP,889,3214,13.22,0,0.201,18,1,benign
A00016,icmp-echo-reply,UDP,2824,5498,3.561,0,0.197,11,2,benign
A00017,tls-handshake-ok,ICMP,1240,4900,8.635,0,0.157,17,2,benign
A00018,icmp-echo-reply,UDP,5053,6828,4.49,1,0.235,6,1,benign
A00019,et-dos-synflood,TCP,352882,4274,10.973,37,0.899,77,4,attack
A00020,policy-allowed-http,TCP,1998,1428,6.075,0,0.14,34,1,benign
A00021,et-dos-synflood,TCP,162808,2048,6.142,38,0.913,400,3,attack
A00022,icmp-echo-reply,TCP,1406,6991,16.182,1,0.229,10,1,benign
A00023,et-scan-portscan,TCP,621403,2446,7.588,35,0.821,366,3,attack
A00024,et-scan-portscan,TCP,123924,2008,17.739,21,0.665,164,3,attack
